Pokemon;Numero;Type1;Type2;Name_Stream;Base_HP;Base_Atk;Base_Def;Base_SpA;Base_SpD;Base_Spe
Séviper;0336;Poison;Poison;Seviper;73;100;60;100;60;65
Séléroc;0337;Rock;Psychic;Lunatone;90;55;65;95;85;70
Solaroc;0338;Rock;Psychic;Solrock;90;95;85;55;65;70
Barloche;0339;Water;Ground;Barboach;50;48;43;46;41;60
Barbicha;0340;Water;Ground;Whiscash;110;78;73;76;71;60
Écrapince;0341;Water;Water;Corphish;43;80;65;50;35;35
Colhomard;0342;Water;Dark;Crawdaunt;63;120;85;90;55;55
Balbuto;0343;Ground;Psychic;Baltoy;40;40;55;40;70;55
Kaorine;0344;Ground;Psychic;Claydol;60;70;105;70;120;75
Lilia;0345;Rock;Grass;Lileep;66;41;77;61;87;23
Vacilys;0346;Rock;Grass;Cradily;86;81;97;81;107;43
Anorith;0347;Rock;Bug;Anorith;45;95;50;40;50;75
Armaldo;0348;Rock;Bug;Armaldo;75;125;100;70;80;45
Barpau;0349;Water;Water;Feebas;20;15;20;10;55;80
Milobellus;0350;Water;Water;Milotic;95;60;79;100;125;81
Morphéo;0351;Normal;Normal;Castform;70;70;70;70;70;70
Morphéo Forme Solaire;0351_01;Fire;Fire;Castform-Sunny;70;70;70;70;70;70
Morphéo Forme Eau de Pluie;0351_02;Water;Water;Castform-Rainy;70;70;70;70;70;70
Morphéo Forme Blizzard;0351_03;Ice;Ice;Castform-Snowy;70;70;70;70;70;70
Kecleon;0352;Normal;Normal;Kecleon;60;90;70;60;120;40
Polichombr;0353;Ghost;Ghost;Shuppet;44;75;35;63;33;45
Branette;0354;Ghost;Ghost;Banette;64;115;65;83;63;65
Skelénox;0355;Ghost;Ghost;Duskull;20;40;90;30;90;25
Téraclope;0356;Ghost;Ghost;Dusclops;40;70;130;60;130;25
Tropius;0357;Grass;Flying;Tropius;99;68;83;72;87;51
Éoko;0358;Psychic;Psychic;Chimecho;75;50;80;95;90;65
Absol;0359;Dark;Dark;Absol;65;130;60;75;60;75
Okéoké;0360;Psychic;Psychic;Wynaut;95;23;48;23;48;23
Stalgamin;0361;Ice;Ice;Snorunt;50;50;50;50;50;50
Oniglali;0362;Ice;Ice;Glalie;80;80;80;80;80;80
Obalie;0363;Ice;Water;Spheal;70;40;50;55;50;25
Phogleur;0364;Ice;Water;Sealeo;90;60;70;75;70;45
Kaimorse;0365;Ice;Water;Walrein;110;80;90;95;90;65
Coquiperl;0366;Water;Water;Clamperl;35;64;85;74;55;32
Serpang;0367;Water;Water;Huntail;55;104;105;94;75;52
Rosabyss;0368;Water;Water;Gorebyss;55;84;105;114;75;52
Relicanth;0369;Water;Rock;Relicanth;100;90;130;45;65;55
Lovdisc;0370;Water;Water;Luvdisc;43;30;55;40;65;97
Draby;0371;Dragon;Dragon;Bagon;45;75;60;40;30;50
Drackhaus;0372;Dragon;Dragon;Shelgon;65;95;100;60;50;50
Drattak;0373;Dragon;Flying;Salamence;95;135;80;110;80;100
Terhal;0374;Steel;Psychic;Beldum;40;55;80;35;60;30
Métang;0375;Steel;Psychic;Metang;60;75;100;55;80;50
Métalosse;0376;Steel;Psychic;Metagross;80;135;130;95;90;70
Regirock;0377;Rock;Rock;Regirock;80;100;200;50;100;50
Regice;0378;Ice;Ice;Regice;80;50;100;100;200;50
Registeel;0379;Steel;Steel;Registeel;80;75;150;75;150;50
Latias;0380;Dragon;Psychic;Latias;80;80;90;110;130;110
Latios;0381;Dragon;Psychic;Latios;80;90;80;130;110;110
Kyogre;0382;Water;Water;Kyogre;100;100;90;150;140;90
Groudon;0383;Ground;Ground;Groudon;100;150;140;100;90;90
Rayquaza;0384;Dragon;Flying;Rayquaza;105;150;90;150;90;95
Jirachi;0385;Steel;Psychic;Jirachi;100;100;100;100;100;100
Deoxys;0386;Psychic;Psychic;Deoxys;50;150;50;150;50;150
Deoxys Forme Attaque;0386_01;Psychic;Psychic;Deoxys-Attack;50;180;20;180;20;150
Deoxys Forme Défense;0386_02;Psychic;Psychic;Deoxys-Defense;50;70;160;70;160;90
Deoxys Forme Vitesse;0386_03;Psychic;Psychic;Deoxys-Speed;50;95;90;95;90;180
Tortipouss;0387;Grass;Grass;Turtwig;55;68;64;45;55;31
Boskara;0388;Grass;Grass;Grotle;75;89;85;55;65;36
Torterra;0389;Grass;Ground;Torterra;95;109;105;75;85;56
Ouisticram;0390;Fire;Fire;Chimchar;44;58;44;58;44;61
Chimpenfeu;0391;Fire;Fighting;Monferno;64;78;52;78;52;81
Simiabraz;0392;Fire;Fighting;Infernape;76;104;71;104;71;108
Tiplouf;0393;Water;Water;Piplup;53;51;53;61;56;40
Prinplouf;0394;Water;Water;Prinplup;64;66;68;81;76;50
Pingoléon;0395;Water;Steel;Empoleon;84;86;88;111;101;60
Étourmi;0396;Normal;Flying;Starly;40;55;30;30;30;60
Étourvol;0397;Normal;Flying;Staravia;55;75;50;40;40;80
Étouraptor;0398;Normal;Flying;Staraptor;85;120;70;50;60;100
Keunotor;0399;Normal;Normal;Bidoof;59;45;40;35;40;31
Castorno;0400;Normal;Water;Bibarel;79;85;60;55;60;71
Crikzik;0401;Bug;Bug;Kricketot;37;25;41;25;41;25
Mélokrik;0402;Bug;Bug;Kricketune;77;85;51;55;51;65
Lixy;0403;Electric;Electric;Shinx;45;65;34;40;34;45
Luxio;0404;Electric;Electric;Luxio;60;85;49;60;49;60
Luxray;0405;Electric;Electric;Luxray;80;120;79;95;79;70
Rozbouton;0406;Grass;Poison;Budew;40;30;35;50;70;55
Roserade;0407;Grass;Poison;Roserade;60;70;65;125;105;90
Kranidos;0408;Rock;Rock;Cranidos;67;125;40;30;30;58
Charkos;0409;Rock;Rock;Rampardos;97;165;60;65;50;58
Dinoclier;0410;Rock;Steel;Shieldon;30;42;118;42;88;30
Bastiodon;0411;Rock;Steel;Bastiodon;60;52;168;47;138;30
Cheniti;0412;Bug;Bug;Burmy;40;29;45;29;45;36
Cheniselle Cape Plante;0413;Bug;Grass;Wormadam-Plant;60;59;85;79;105;36
Cheniselle Cape Sable;0413_01;Bug;Ground;Wormadam-Sandy;60;79;105;59;85;36
Cheniselle Cape Déchet;0413_02;Bug;Steel;Wormadam-Trash;60;69;95;69;95;36
Papilord;0414;Bug;Flying;Mothim;70;94;50;94;50;66
Apitrini;0415;Bug;Flying;Combee;30;30;42;30;42;70
Apireine;0416;Bug;Flying;Vespiquen;70;80;102;80;102;40
Pachirisu;0417;Electric;Electric;Pachirisu;60;45;70;45;90;95
Mustébouée;0418;Water;Water;Buizel;55;65;35;60;30;85
Mustéflott;0419;Water;Water;Floatzel;85;105;55;85;50;115
Ceribou;0420;Grass;Grass;Cherubi;45;35;45;62;53;35
Ceriflor;0421;Grass;Grass;Cherrim;70;60;70;87;78;85
Ceriflor Temps Ensoleillé;0421_01;Grass;Grass;Cherrim;70;60;70;87;78;85
Sancoki;0422;Water;Water;Shellos;76;48;48;57;62;34
Tritosor;0423;Water;Ground;Gastrodon;111;83;68;92;82;39
Capidextre;0424;Normal;Normal;Ambipom;75;100;66;60;66;115
Baudrive;0425;Ghost;Flying;Drifloon;90;50;34;60;44;70
Grodrive;0426;Ghost;Flying;Drifblim;150;80;44;90;54;80
Laporeille;0427;Normal;Normal;Buneary;55;66;44;44;56;85
Lockpin;0428;Normal;Normal;Lopunny;65;76;84;54;96;105
Magirêve;0429;Ghost;Ghost;Mismagius;60;60;60;105;105;105
Corboss;0430;Dark;Flying;Honchkrow;100;125;52;105;52;71
Chaglam;0431;Normal;Normal;Glameow;49;55;42;42;37;85
Chaffreux;0432;Normal;Normal;Purugly;71;82;64;64;59;112
Korillon;0433;Psychic;Psychic;Chingling;45;30;50;65;50;45
Moufouette;0434;Poison;Dark;Stunky;63;63;47;41;41;74
Moufflair;0435;Poison;Dark;Skuntank;103;93;67;71;61;84
Archéomire;0436;Steel;Psychic;Bronzor;57;24;86;24;86;23
Archéodong;0437;Steel;Psychic;Bronzong;67;89;116;79;116;33
Manzaï;0438;Rock;Rock;Bonsly;50;80;95;10;45;10
Mime Jr.;0439;Psychic;Fairy;MimeJr.;20;25;45;70;90;60
Ptiravi;0440;Normal;Normal;Happiny;100;5;5;15;65;30
Pijako;0441;Normal;Flying;Chatot;76;65;45;92;42;91
Spiritomb;0442;Ghost;Dark;Spiritomb;50;92;108;92;108;35
Griknot;0443;Dragon;Ground;Gible;58;70;45;40;45;42
Carmache;0444;Dragon;Ground;Gabite;68;90;65;50;55;82
Carchacrok;0445;Dragon;Ground;Garchomp;108;130;95;80;85;102
Goinfrex;0446;Normal;Normal;Munchlax;135;85;40;40;85;5
Riolu;0447;Fighting;Fighting;Riolu;40;70;40;35;40;60
Lucario;0448;Fighting;Steel;Lucario;70;110;70;115;70;90
Hippopotas;0449;Ground;Ground;Hippopotas;68;72;78;38;42;32
Hippodocus;0450;Ground;Ground;Hippowdon;108;112;118;68;72;47
Rapion;0451;Poison;Bug;Skorupi;40;50;90;30;55;65
Drascore;0452;Poison;Dark;Drapion;70;90;110;60;75;95
Cradopaud;0453;Poison;Fighting;Croagunk;48;61;40;61;40;50
Coatox;0454;Poison;Fighting;Toxicroak;83;106;65;86;65;85
Vortente;0455;Grass;Grass;Carnivine;74;100;72;90;72;46
Écayon;0456;Water;Water;Finneon;49;49;56;49;61;66
Luminéon;0457;Water;Water;Lumineon;69;69;76;69;86;91
Babimanta;0458;Water;Flying;Mantyke;45;20;50;60;120;50
Blizzi;0459;Grass;Ice;Snover;60;62;50;62;60;40
Blizzaroi;0460;Grass;Ice;Abomasnow;90;92;75;92;85;60
Dimoret;0461;Dark;Ice;Weavile;70;120;65;45;85;125
Magnézone;0462;Electric;Steel;Magnezone;70;70;115;130;90;60
Coudlangue;0463;Normal;Normal;Lickilicky;110;85;95;80;95;50
Rhinastoc;0464;Ground;Rock;Rhyperior;115;140;130;55;55;40
Bouldeneu;0465;Grass;Grass;Tangrowth;100;100;125;110;50;50
Élekable;0466;Electric;Electric;Electivire;75;123;67;95;85;95
Maganon;0467;Fire;Fire;Magmortar;75;95;67;125;95;83
Togekiss;0468;Fairy;Flying;Togekiss;85;50;95;120;115;80
Yanmega;0469;Bug;Flying;Yanmega;86;76;86;116;56;95
Phyllali;0470;Grass;Grass;Leafeon;65;110;130;60;65;95
Givrali;0471;Ice;Ice;Glaceon;65;60;110;130;95;65
Scorvol;0472;Ground;Flying;Gliscor;75;95;125;45;75;95
Mammochon;0473;Ice;Ground;Mamoswine;110;130;80;70;60;80
Porygon-Z;0474;Normal;Normal;Porygon-Z;85;80;70;135;75;90
Gallame;0475;Psychic;Fighting;Gallade;68;125;65;65;115;80
Tarinorme;0476;Rock;Steel;Probopass;60;55;145;75;150;40
Noctunoir;0477;Ghost;Ghost;Dusknoir;45;100;135;65;135;45
Momartik;0478;Ice;Ghost;Froslass;70;80;70;80;70;110
Motisma;0479;Electric;Ghost;Rotom;50;50;77;95;77;91
Motisma Chaleur;0479_01;Electric;Fire;Rotom-Heat;50;65;107;105;107;86
Motisma Lavage;0479_02;Electric;Water;Rotom-Wash;50;65;107;105;107;86
Motisma Froid;0479_03;Electric;Ice;Rotom-Frost;50;65;107;105;107;86
Motisma Hélice;0479_04;Electric;Flying;Rotom-Fan;50;65;107;105;107;86
Motisma Tonte;0479_05;Electric;Grass;Rotom-Mow;50;65;107;105;107;86
Créhelf;0480;Psychic;Psychic;Uxie;75;75;130;75;130;95
Créfollet;0481;Psychic;Psychic;Mesprit;80;105;105;105;105;80
Créfadet;0482;Psychic;Psychic;Azelf;75;125;70;125;70;115
Dialga;0483;Steel;Dragon;Dialga;100;120;120;150;100;90
Dialga Origine;0483_01;Steel;Dragon;Dialga-Origin;100;100;120;150;120;90
Palkia;0484;Water;Dragon;Palkia;90;120;100;150;120;100
Palkia Origine;0484_01;Water;Dragon;Palkia-Origin;90;100;100;150;120;120
Heatran;0485;Fire;Steel;Heatran;91;90;106;130;106;77
Regigigas;0486;Normal;Normal;Regigigas;110;160;110;80;110;100
Giratina;0487;Ghost;Dragon;Giratina;150;100;120;100;120;90
Giratina Origine;0487_01;Ghost;Dragon;Giratina-Origin;150;120;100;120;100;90
Cresselia;0488;Psychic;Psychic;Cresselia;120;70;110;75;120;85
Phione;0489;Water;Water;Phione;80;80;80;80;80;80
Manaphy;0490;Water;Water;Manaphy;100;100;100;100;100;100
Darkrai;0491;Dark;Dark;Darkrai;70;90;90;135;90;125
Shaymin;0492;Grass;Grass;Shaymin;100;100;100;100;100;100
Shaymin Forme Céleste;0492_01;Grass;Flying;Shaymin-Sky;100;103;75;120;75;127
Arceus;0493;Normal;Normal;Arceus;120;120;120;120;120;120
Victini;0494;Psychic;Fire;Victini;100;100;100;100;100;100
Vipélierre;0495;Grass;Grass;Snivy;45;45;55;45;55;63
Lianaja;0496;Grass;Grass;Servine;60;60;75;60;75;83
Majaspic;0497;Grass;Grass;Serperior;75;75;95;75;95;113
Gruikui;0498;Fire;Fire;Tepig;65;63;45;45;45;45
Grotichon;0499;Fire;Fighting;Pignite;90;93;55;70;55;55
Roitiflam;0500;Fire;Fighting;Emboar;110;123;65;100;65;65
Moustillon;0501;Water;Water;Oshawott;55;55;45;63;45;45
Mateloutre;0502;Water;Water;Dewott;75;75;60;83;60;60
Clamiral;0503;Water;Water;Samurott;95;100;85;108;70;70
Clamiral de Hisui;0503_01;Water;Dark;Samurott-Hisui;90;108;80;100;65;85
Ratentif;0504;Normal;Normal;Patrat;45;55;39;35;39;42
Miradar;0505;Normal;Normal;Watchog;60;85;69;60;69;77
Ponchiot;0506;Normal;Normal;Lillipup;45;60;45;25;45;55
Ponchien;0507;Normal;Normal;Herdier;65;80;65;35;65;60
Mastouffe;0508;Normal;Normal;Stoutland;85;110;90;45;90;80
Chacripan;0509;Dark;Dark;Purrloin;41;50;37;50;37;66
Léopardus;0510;Dark;Dark;Liepard;64;88;50;88;50;106
Feuillajou;0511;Grass;Grass;Pansage;50;53;48;53;48;64
Feuiloutan;0512;Grass;Grass;Simisage;75;98;63;98;63;101
Flamajou;0513;Fire;Fire;Pansear;50;53;48;53;48;64
Flamoutan;0514;Fire;Fire;Simisear;75;98;63;98;63;101
Flotajou;0515;Water;Water;Panpour;50;53;48;53;48;64
Flotoutan;0516;Water;Water;Simipour;75;98;63;98;63;101
Munna;0517;Psychic;Psychic;Munna;76;25;45;67;55;24
Mushana;0518;Psychic;Psychic;Musharna;116;55;85;107;95;29
Poichigeon;0519;Normal;Flying;Pidove;50;55;50;36;30;43
Colombeau;0520;Normal;Flying;Tranquill;62;77;62;50;42;65
Déflaisan;0521;Normal;Flying;Unfezant;80;115;80;65;55;93
Zébribon;0522;Electric;Electric;Blitzle;45;60;32;50;32;76
Zéblitz;0523;Electric;Electric;Zebstrika;75;100;63;80;63;116
Nodulithe;0524;Rock;Rock;Roggenrola;55;75;85;25;25;15
Géolithe;0525;Rock;Rock;Boldore;70;105;105;50;40;20
Gigalithe;0526;Rock;Rock;Gigalith;85;135;130;60;80;25
Chovsourir;0527;Psychic;Flying;Woobat;65;45;43;55;43;72
Rhinolove;0528;Psychic;Flying;Swoobat;67;57;55;77;55;114
Rototaupe;0529;Ground;Ground;Drilbur;60;85;40;30;45;68
Minotaupe;0530;Ground;Steel;Excadrill;110;135;60;50;65;88
Nanméouïe;0531;Normal;Normal;Audino;103;60;86;60;86;50
Charpenti;0532;Fighting;Fighting;Timburr;75;80;55;25;35;35
Ouvrifier;0533;Fighting;Fighting;Gurdurr;85;105;85;40;50;40
Bétochef;0534;Fighting;Fighting;Conkeldurr;105;140;95;55;65;45
Tritonde;0535;Water;Water;Tympole;50;50;40;50;40;64
Batracné;0536;Water;Ground;Palpitoad;75;65;55;65;55;69
Crapustule;0537;Water;Ground;Seismitoad;105;95;75;85;75;74
Judokrak;0538;Fighting;Fighting;Throh;120;100;85;30;85;45
Karaclée;0539;Fighting;Fighting;Sawk;75;125;75;30;75;85
Larveyette;0540;Bug;Grass;Sewaddle;45;53;70;40;60;42
Couverdure;0541;Bug;Grass;Swadloon;55;63;90;50;80;42
Manternel;0542;Bug;Grass;Leavanny;75;103;80;70;80;92
Venipatte;0543;Bug;Poison;Venipede;30;45;59;30;39;57
Scobolide;0544;Bug;Poison;Whirlipede;40;55;99;40;79;47
Brutapode;0545;Bug;Poison;Scolipede;60;100;89;55;69;112
Doudouvet;0546;Grass;Fairy;Cottonee;40;27;60;37;50;66
Farfaduvet;0547;Grass;Fairy;Whimsicott;60;67;85;77;75;116
Chlorobule;0548;Grass;Grass;Petilil;45;35;50;70;50;30
Fragilady;0549;Grass;Grass;Lilligant;70;60;75;110;75;90
Fragilady de Hisui;0549_01;Grass;Fighting;Lilligant-Hisui;70;105;75;50;75;105
Bargantua Motif Rouge;0550;Water;Water;Basculin;70;92;65;80;55;98
Bargantua Motif Bleu;0550_01;Water;Water;Basculin;70;92;65;80;55;98
Bargantua Motif Blanc;0550_02;Water;Water;Basculin;70;92;65;80;55;98
Mascaiman;0551;Ground;Dark;Sandile;50;72;35;35;35;65
Escroco;0552;Ground;Dark;Krokorok;60;82;45;45;45;74
Crocorible;0553;Ground;Dark;Krookodile;95;117;80;65;70;92
Darumarond;0554;Fire;Fire;Darumaka;70;90;45;15;45;50
Darumarond de Galar;0554_01;Ice;Ice;Darumaka-Galar;70;90;45;15;45;50
Darumacho;0555;Fire;Fire;Darmanitan;105;140;55;30;55;95
Darumacho Mode Transe;0555_01;Ice;Ice;Darmanitan-Galar;105;30;105;140;105;55
Darumacho de Galar;0555_02;Fire;Psychic;Darmanitan-Zen;105;140;55;30;55;95
Darumacho de Galar Mode Transe;0555_03;Ice;Fire;Darmanitan-Galar-Zen;105;160;55;30;55;135
Maracachi;0556;Grass;Grass;Maractus;75;86;67;106;67;60
Crabicoque;0557;Bug;Rock;Dwebble;50;65;85;35;35;55
Crabaraque;0558;Bug;Rock;Crustle;70;105;125;65;75;45
Baggiguane;0559;Dark;Fighting;Scraggy;50;75;70;35;70;48
Baggaïd;0560;Dark;Fighting;Scrafty;65;90;115;45;115;58
Cryptéro;0561;Psychic;Flying;Sigilyph;72;58;80;103;80;97
Tutafeh;0562;Ghost;Ghost;Yamask;38;30;85;55;65;30
Tutafeh de Galar;0562_01;Ground;Ghost;Yamask-Galar;38;55;85;30;65;30
Tutankafer;0563;Ghost;Ghost;Cofagrigus;58;50;145;95;105;30
Carapagos;0564;Water;Rock;Tirtouga;54;78;103;53;45;22
Mégapagos;0565;Water;Rock;Carracosta;74;108;133;83;65;32
Arkéapti;0566;Rock;Flying;Archen;55;112;45;74;45;70
Aéroptéryx;0567;Rock;Flying;Archeops;75;140;65;112;65;110
Miamiasme;0568;Poison;Poison;Trubbish;50;50;62;40;62;65
Miasmax;0569;Poison;Poison;Garbodor;80;95;82;60;82;75
Zorua;0570;Dark;Dark;Zorua;40;65;40;80;40;65
Zorua de Hisui;0570_01;Normal;Ghost;Zorua-Hisui;35;60;40;85;40;70
Zoroark;0571;Dark;Dark;Zoroark;60;105;60;120;60;105
Zoroark de Hisui;0571_01;Normal;Ghost;Zoroark-Hisui;55;100;60;125;60;110
Chinchidou;0572;Normal;Normal;Minccino;55;50;40;40;40;75
Pashmilla;0573;Normal;Normal;Cinccino;75;95;60;65;60;115
Scrutella;0574;Psychic;Psychic;Gothita;45;30;50;55;65;45
Mesmérella;0575;Psychic;Psychic;Gothorita;60;45;70;75;85;55
Sidérella;0576;Psychic;Psychic;Gothitelle;70;55;95;95;110;65
Nucléos;0577;Psychic;Psychic;Solosis;45;30;40;105;50;20
Méios;0578;Psychic;Psychic;Duosion;65;40;50;125;60;30
Symbios;0579;Psychic;Psychic;Reuniclus;110;65;75;125;85;30
Couaneton;0580;Water;Flying;Ducklett;62;44;50;44;50;55
Lakmécygne;0581;Water;Flying;Swanna;75;87;63;87;63;98
Sorbébé;0582;Ice;Ice;Vanillite;36;50;50;65;60;44
Sorboul;0583;Ice;Ice;Vanillish;51;65;65;80;75;59
Sorbouboul;0584;Ice;Ice;Vanilluxe;71;95;85;110;95;79
Vivaldaim;0585;Normal;Grass;Deerling;60;60;50;40;50;75
Haydaim;0586;Normal;Grass;Sawsbuck;80;100;70;60;70;95
Emolga;0587;Electric;Flying;Emolga;55;75;60;75;60;103
Carabing;0588;Bug;Bug;Karrablast;50;75;45;40;45;60
Lançargot;0589;Bug;Steel;Escavalier;70;135;105;60;105;20
Trompignon;0590;Grass;Poison;Foongus;69;55;45;55;55;15
Gaulet;0591;Grass;Poison;Amoonguss;114;85;70;85;80;30
Viskuse;0592;Water;Ghost;Frillish;55;40;50;65;85;40
Moyade;0593;Water;Ghost;Jellicent;100;60;70;85;105;60
Mamanbo;0594;Water;Water;Alomomola;165;75;80;40;45;65
Statitik;0595;Bug;Electric;Joltik;50;47;50;57;50;65
Mygavolt;0596;Bug;Electric;Galvantula;70;77;60;97;60;108
Grindur;0597;Grass;Steel;Ferroseed;44;50;91;24;86;10
Noacier;0598;Grass;Steel;Ferrothorn;74;94;131;54;116;20
Tic;0599;Steel;Steel;Klink;40;55;70;45;60;30
Clic;0600;Steel;Steel;Klang;60;80;95;70;85;50
Cliticlic;0601;Steel;Steel;Klinklang;60;100;115;70;85;90
Anchwatt;0602;Electric;Electric;Tynamo;35;55;40;45;40;60
Lampéroie;0603;Electric;Electric;Eelektrik;65;85;70;75;70;40
Ohmassacre;0604;Electric;Electric;Eelektross;85;115;80;105;80;50
Lewsor;0605;Psychic;Psychic;Elgyem;55;55;55;85;55;30
Neitram;0606;Psychic;Psychic;Beheeyem;75;75;75;125;95;40
Funécire;0607;Ghost;Fire;Litwick;50;30;55;65;55;20
Mélancolux;0608;Ghost;Fire;Lampent;60;40;60;95;60;55
Lugulabre;0609;Ghost;Fire;Chandelure;60;55;90;145;90;80
Coupenotte;0610;Dragon;Dragon;Axew;46;87;60;30;40;57
Incisache;0611;Dragon;Dragon;Fraxure;66;117;70;40;50;67
Tranchodon;0612;Dragon;Dragon;Haxorus;76;147;90;60;70;97
Polarhume;0613;Ice;Ice;Cubchoo;55;70;40;60;40;40
Polagriffe;0614;Ice;Ice;Beartic;95;130;80;70;80;50
Hexagel;0615;Ice;Ice;Cryogonal;80;50;50;95;135;105
Escargaume;0616;Bug;Bug;Shelmet;50;40;85;40;65;25
Limaspeed;0617;Bug;Bug;Accelgor;80;70;40;100;60;145
Limonde;0618;Ground;Electric;Stunfisk;109;66;84;81;99;32
Limonde de Galar;0618_01;Ground;Steel;Stunfisk-Galar;109;81;99;66;84;32
Kungfouine;0619;Fighting;Fighting;Mienfoo;45;85;50;55;50;65
Shaofouine;0620;Fighting;Fighting;Mienshao;65;125;60;95;60;105
Drakkarmin;0621;Dragon;Dragon;Druddigon;77;120;90;60;90;48
Gringolem;0622;Ground;Ghost;Golett;59;74;50;35;50;35
Golemastoc;0623;Ground;Ghost;Golurk;89;124;80;55;80;55
Scalpion;0624;Dark;Steel;Pawniard;45;85;70;40;40;60
Scalproie;0625;Dark;Steel;Bisharp;65;125;100;60;70;70
Frison;0626;Normal;Normal;Bouffalant;95;110;95;40;95;55
Furaiglon;0627;Normal;Flying;Rufflet;70;83;50;37;50;60
Gueriaigle;0628;Normal;Flying;Braviary;100;123;75;57;75;80
Gueriaigle de Hisui;0628_01;Psychic;Flying;Braviary-Hisui;110;83;70;112;70;65
Vostourno;0629;Dark;Flying;Vullaby;70;55;75;45;65;60
Vaututrice;0630;Dark;Flying;Mandibuzz;110;65;105;55;95;80
Aflamanoir;0631;Fire;Fire;Heatmor;85;97;66;105;66;65
Fermite;0632;Bug;Steel;Durant;58;109;112;48;48;109
Solochi;0633;Dark;Dragon;Deino;52;65;50;45;50;38
Diamat;0634;Dark;Dragon;Zweilous;72;85;70;65;70;58
Trioxhydre;0635;Dark;Dragon;Hydreigon;92;105;90;125;90;98
Pyronille;0636;Bug;Fire;Larvesta;55;85;55;50;55;60
Pyrax;0637;Bug;Fire;Volcarona;85;60;65;135;105;100
Cobaltium;0638;Steel;Fighting;Cobalion;91;90;129;90;72;108
Terrakium;0639;Rock;Fighting;Terrakion;91;129;90;72;90;108
Viridium;0640;Grass;Fighting;Virizion;91;90;72;90;129;108
Boréas Avatar;0641;Flying;Flying;Tornadus;79;115;70;125;80;111
Boréas Totémique;0641_01;Flying;Flying;Tornadus-Therian;79;100;80;110;90;121
Fulguris Avatar;0642;Electric;Flying;Thundurus;79;115;70;125;80;111
Fulguris Totémique;0642_01;Electric;Flying;Thundurus-Therian;79;105;70;145;80;101
Reshiram;0643;Dragon;Fire;Reshiram;100;120;100;150;120;90
Zekrom;0644;Dragon;Electric;Zekrom;100;150;120;120;100;90
Démétéros Avatar;0645;Ground;Flying;Landorus;89;125;90;115;80;101
Démétéros Totémique;0645_01;Ground;Flying;Landorus-Therian;89;145;90;105;80;91
Kyurem;0646;Dragon;Ice;Kyurem;125;130;90;130;90;95
Kyurem Blanc;0646_01;Dragon;Ice;Kyurem-White;125;170;100;120;90;95
Kyurem Noir;0646_02;Dragon;Ice;Kyurem-Black;125;120;90;170;100;95
Keldeo;0647;Water;Fighting;Keldeo-Ordinary;91;72;90;129;90;108
Keldeo Décidé;0647_01;Water;Fighting;Keldeo-Resolute;91;72;90;129;90;108
Meloetta;0648;Normal;Psychic;Meloetta;100;77;77;128;128;90
Meloette Forme Pirouette;00648_01;Normal;Fighting;Meloetta-Pirouette;100;128;90;77;77;128
Genesect;0649;Bug;Steel;Genesect;71;120;95;120;95;99
Genesect alt 1;0649_01;Bug;Steel;Genesect-Douse;71;120;95;120;95;99
Genesect alt 2;0649_02;Bug;Steel;Genesect-Shock;71;120;95;120;95;99
Genesect alt 3;0649_03;Bug;Steel;Genesect-Burn;71;120;95;120;95;99
Genesect alt 4;0649_04;Bug;Steel;Genesect-Chill;71;120;95;120;95;99
Marisson;0650;Grass;Grass;Chespin;56;61;65;48;45;38
Boguérisse;0651;Grass;Grass;Quilladin;61;78;95;56;58;57
Blindépique;0652;Grass;Fighting;Chesnaught;88;107;122;74;75;64
Feunnec;0653;Fire;Fire;Fennekin;40;45;40;62;60;60
Roussil;0654;Fire;Fire;Braixen;59;59;58;90;70;73
Goupelin;0655;Fire;Psychic;Delphox;75;69;72;114;100;104
Grenousse;0656;Water;Water;Froakie;41;56;40;62;44;71
Croaporal;0657;Water;Water;Frogadier;54;63;52;83;56;97
Amphinobi;0658;Water;Dark;Greninja;72;95;67;103;71;122
Sapereau;0659;Normal;Normal;Bunnelby;38;36;38;32;36;57
Excavarenne;0660;Normal;Ground;Diggersby;85;56;77;50;77;78
Passerouge;0661;Normal;Flying;Fletchling;45;50;43;40;38;62
Braisillon;0662;Fire;Flying;Fletchinder;62;73;55;56;52;84
Flambusard;0663;Fire;Flying;Talonflame;78;81;71;74;69;126
Lépidonille;0664;Bug;Bug;Scatterbug;38;35;40;27;25;35
Pérégrain;0665;Bug;Bug;Spewpa;45;22;60;27;30;29
Prismillon;0666;Bug;Flying;Vivillon;80;52;50;90;50;89
Hélionceau;0667;Fire;Normal;Litleo;62;50;58;73;54;72
Némélios;0668;Fire;Normal;Pyroar;86;68;72;109;66;106
Flabébé;0669;Fairy;Fairy;Flabébé;44;38;39;61;79;42
Floette;0670;Fairy;Fairy;Floette;54;45;47;75;98;52
Florges;0671;Fairy;Fairy;Florges;78;65;68;112;154;75
Cabriolaine;0672;Grass;Grass;Skiddo;66;65;48;62;57;52
Chevroum;0673;Grass;Grass;Gogoat;123;100;62;97;81;68
Pandespiègle;0674;Fighting;Fighting;Pancham;67;82;62;46;48;43
Pandarbare;0675;Fighting;Dark;Pangoro;95;124;78;69;71;58
Couafarel;0676;Normal;Normal;Furfrou;75;80;60;65;90;102
Psystigri;0677;Psychic;Psychic;Espurr;62;48;54;63;60;68
